card_name,card_description,card_price,link_to_card
Шампунь для окрашенных волос с экстрактом брусники / Color Shampoo 1000 мл,"Мягкая формула шампуня специально разработана для эффективной защиты косметического цвета, бережного очищения волос и кожи головы. Надолго сохраняет сияние и блеск ранее окрашенных и натуральных волос. Keratin &amp; Protein Complex способствует восстановлению сухих и поврежденных волос,...",462,https://www.proficosmetics.ru/catalog/3067058/
Шампунь-эликсир для восстановления и придания сияющего блеска / Elixir Care Shampoo 500 мл,"Шампунь-эликсир для восстановления и придания сияющего блеска Elixir Care Shampoo — мягко очищает истонченные поврежденные волосы, обеспечивая стойкость и защиту цвета, усиливает яркость и придаёт дополнительный блеск. Абсолютно не содержит парабенов, силиконов, красителей,...",1650,https://www.proficosmetics.ru/catalog/133636/
Шампунь коллагеновый восстанавливающий / Sea Collagen Therapy Revival RECONSTRUCTION SHAMPOO 1000 мл,"Шампунь коллагеновый восстанавливающий Sea Collagen Therapy Revival RECONSTRUCTION SHAMPOO для всех типов волос с высокоэффективной антиоксидантной системой Anti Age Defense Complex на основе морского коллагена, гиалуроновой кислоты и масла монои. Мягко очищает волосы и кожу головы, активирует...",1150,https://www.proficosmetics.ru/catalog/173051/
Шампунь для экстремально поврежденных осветленных волос / Extreme Blond Repair Shampoo 1000 мл,"Шампунь для экстремально поврежденных осветленных волос Extreme Blond Repair Shampoo - деликатная формула с аминокислотами молочных протеинов, гидролизованным кератином и протеинами шелка бережно очищает, способствуют восстановлению структуры осветленных и обесцвеченных волос, поддерживает...",1175,https://www.proficosmetics.ru/catalog/2502375/
Шампунь против выпадения волос / K05 HAIR LOSS SHAMPOO 1000 мл,"Деликатно очищает кожу головы и волосы, устраняя дисбаланс. Его неагрессивный состав богат натуральными активными компонентами, такими как: масло чайного дерева — антибактериальное средство, которое очищает поры и снимает воспаление и зуд кожи, а также арника...",2015,https://www.proficosmetics.ru/catalog/40843/
Шампунь для абсолютной красоты волос / OI ESSENTIAL HAIRCARE 280 мл,"Шампунь для абсолютной красоты OI деликатно очищает волосы и придает необычайную мягкость, блеск и объем. Содержит масло аннато (другое название — масло рукку) из растения, произрастающего в лесах Амазонии, а также активный ингредиент, полученный из розового масла, который придает волосам...",3080,https://www.proficosmetics.ru/catalog/64992/
Шампунь для сухих и поврежденных волос / Salerm 21 300 мл,"Идеальный шампунь для сухих и поврежденных волос, требующих дополнительного ухода. Его формула с гиалуроновой кислотой глубоко восстанавливает волосы, делает их мягкими, не нарушая pH кожи головы. Видимый результат с первого применения. В состав входят протеины шелка, провитамин B5 и пантенол. Без...",1340,https://www.proficosmetics.ru/catalog/152141/
Шампунь оздоравливающий / SEAWET Shampoo 1000 мл,"Шампунь оздоравливающий SEAWET Shampoo нежно очищает волосы. Благодаря запатентованному комплексу AlgaNord5 ™ глубоко питает, увлажняет и укрепляет волосы, восстанавливает баланс влаги в структуре волос, делает волосы мягкими и послушными, питает кожу головы. Подходит для ежедневного применения....",14460,https://www.proficosmetics.ru/catalog/1129188/
Шампунь оздоравливающий / SEAWET Shampoo 250 мл,"Шампунь оздоравливающий SEAWET Shampoo нежно очищает волосы. Благодаря запатентованному комплексу AlgaNord5 ™ глубоко питает, увлажняет и укрепляет волосы, восстанавливает баланс влаги в структуре волос, делает волосы мягкими и послушными, питает кожу головы. Подходит для ежедневного применения....",4865,https://www.proficosmetics.ru/catalog/1129187/
Шампунь интенсивный питательный / Top Care Repair Hydra Care Nourishing Shampoo 1000 мл,"Шампунь мягко, но интенсивно промывает волосы, очищая их от загрязнений. Не сушит волосы и не раздражает кожу головы. Шампунь содержит комплекс питательных масел и витаминов, наполняет волосы необходимыми нутриентами. Восстанавливает поврежденную структуру волос,...",1800,https://www.proficosmetics.ru/catalog/94624/
